UPC,Zoro_No,URL,ASIN,BSR,Price,Price difference,First Category,Seller
059733850031,G4310796,https://www.amazon.com/s?k=059733850031,N/A,N/A,N/A,N/A,N/A,N/A
193005253974,G806592515,https://www.amazon.com/s?k=193005253974,N/A,N/A,N/A,N/A,N/A,N/A
193005252229,G006592490,https://www.amazon.com/s?k=193005252229,N/A,N/A,N/A,N/A,N/A,N/A
193005195014,G3014247,https://www.amazon.com/s?k=193005195014,N/A,N/A,N/A,N/A,N/A,N/A
193005261931,G2444436,https://www.amazon.com/USA-Sealing-Inc-Black-Silicone-Adhesive-1/dp/B07935PV3T/ref=sr_1_1?dib=eyJ2IjoiMSJ9.S-K5xXAxfSPOqlx-2Sgs6Q.Pv25By06TNwJXJQ7L-3EhZAMzt7dZUMMtjFgi2Tz5hI&dib_tag=se&keywords=193005261931&qid=1729234853&sr=8-1,B07935PV3T,N/A,18.48,5.28309,N/A,Amazon.com
193005192419,G3340714,https://www.amazon.com/Polyurethane-Foam-Sheet-Black-Thick/dp/B0C3TCWWHL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.deTO-v5ADISTZjZV7R4wgg.7ilNoc-ZZ4ACD0oQLtKSnI73T7DV6PPs1RtYhOeN5og&dib_tag=se&keywords=193005192419&qid=1729234879&sr=8-1,B0C3TCWWHL,N/A,35.04,9.716849999999997,N/A,"SIM Supply, Inc."
193005191948,G2366131,https://www.amazon.com/Polyurethane-Foam-Sheet-Black-Thick/dp/B0C3T65R5Z/ref=sr_1_1?dib=eyJ2IjoiMSJ9.QMYaoB59br4ju0eaYobSSA.hxGbUbP9p1PmYtSLF6xY4jBWukqXnhS8BqdkaK-BqTA&dib_tag=se&keywords=193005191948&qid=1729234905&sr=8-1,B0C3T65R5Z,N/A,175.99,33.56683000000001,N/A,Retail Hunters USA
193005241711,G6758457,https://www.amazon.com/USA-Sealing-Neoprene-Acrylic-Adhesive/dp/B0793933RR/ref=sr_1_1?dib=eyJ2IjoiMSJ9.CO4LIrtUZNWWmEBnRryLQg.khXbH8MAJJv4gWSUOA6jTFeoecWl9QXfhqO2T5vSIdw&dib_tag=se&keywords=193005241711&qid=1729234930&sr=8-1,B0793933RR,N/A,16.67,7.803890000000001,N/A,"SIM Supply, Inc."
193005137588,G4238365,https://www.amazon.com/USA-Sealing-Foam-Sheet-Adhesive/dp/B07CSQX568/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nCg-LXPbLcQIli3PaHJAPA.oRs0J52NMksgIUwZQdLaHjLJ86OmmNe3WPl7eVsltOQ&dib_tag=se&keywords=193005137588&qid=1729234955&sr=8-1,B07CSQX568,N/A,45.07,10.760439999999996,N/A,"SIM Supply, Inc."
193005156886,G2447683,https://www.amazon.com/USA-Sealing-Extended-Microcellular-Polyurethane/dp/B07CRS3QBM/ref=sr_1_1?dib=eyJ2IjoiMSJ9.8YI2qoJLmSB_WrX0MrVa4g.1r0yc0GHC7HazslIqGPWvZYh5BYdwZXAbIVRgyyiKN8&dib_tag=se&keywords=193005156886&qid=1729234980&sr=8-1,B07CRS3QBM,N/A,23.85,13.251570000000001,N/A,Fix Supply Store
193005242565,G6758667,https://www.amazon.com/USA-Sealing-Neoprene-Sheet-Adhesive/dp/B07CRNQQBY/ref=sr_1_1?dib=eyJ2IjoiMSJ9.k3B6HUfewB1mXMaqb78BYQ.GDd13xKLLz78DnMLLtjVcgKvDrLEfnCCspD2Qw-qn_M&dib_tag=se&keywords=193005242565&qid=1729235005&sr=8-1,B07CRNQQBY,N/A,11.38,4.6071100000000005,N/A,Amazon.com
190735968321,G0339985,https://www.amazon.com/Hex-Nut-16-24-Gr-PK100/dp/B07PPZJRDD/ref=sr_1_1?dib=eyJ2IjoiMSJ9.f5Dq0S21SOcYyxF8CFBA4g.VNHlCNF1-afdy48Z8ohyyRw6fWKK8cu1yRFwhio8UkQ&dib_tag=se&keywords=190735968321&qid=1729235031&sr=8-1,B07PPZJRDD,N/A,41.58,33.36351,N/A,"SIM Supply, Inc."
632393588720,G1051032,https://www.amazon.com/Choice-CPB058-No-6-32-Nickel-Brass/dp/B0BSJBZ2MQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xZZ0RZaEXEmAPa7JnpUYSQ.nZhix-hyflvfPcjb_ZYk1Ot7xg3iWIjzRx2RY4od55A&dib_tag=se&keywords=632393588720&qid=1729235055&sr=8-1,B0BSJBZ2MQ,N/A,25.45,6.767409999999998,N/A,"SIM Supply, Inc."
190735975978,G1923516,https://www.amazon.com/Batman-Collection-Ultra-Blu-ray-Digital/dp/B07Q76MTZC/ref=sr_1_1_sspa?keywords=190735975978&qid=1729235081&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1,B07Q76MTZC,"7,909",64.99,55.907349999999994,Movies & TV,Amazon.com
